"Entry Id"	"Genes"	"Genes Relationship"	"Protein Interactions"	"Common Pathways"	"GENEmeta"	"Oligogenic variant combinations"
"780"	"BMP15; GDF9"	"Involved in the same disease;Same pathway;Directly interacting;Same pathway;Relevant pathways for phenotype"	"(BMP15, GDF9)"	"Cytokine-cytokine receptor interaction"	"2"	"OLI1060"
"781"	"NOBOX; STAG3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1061"
"782"	"LHCGR; REC8"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1062"
"783"	"AGRN; VLDLR"	"Involved in the same disease;Monogenic experiments only;Same pathway;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"N.A."	"Axon guidance;Developmental Biology;Nervous system development"	"1"	"OLI1063"
"784"	"FANCA; TP63"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI1064"
"785"	"DMRT3; RELN"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1065"
"786"	"AKAP9; HDAC5"	"Same pathway;Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Diseases of signal transduction by growth factor receptors and second messengers;Disease"	"1"	"OLI1066"
"787"	"HK3; SAMD11"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1067"
"788"	"CCNB1IP1; MLH3"	"Same pathways;Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI1068"
"789"	"CYP21A2; MSH4"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1069"
"790"	"COL6A2; SAMD11"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1070"
"791"	"GPR137C; RELN"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1071"
"792"	"FGFR1; STARD3"	"N.A."	"N.A."	"N.A."	"0"	"OLI1072"
"793"	"SLC26A4; TSHR"	"Involved in the same disease"	"N.A."	"Disease;Thyroid hormone synthesis"	"0"	"OLI1075; OLI1495"
"794"	"DUOX2; DUOXA1; GLIS3"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1077; OLI1496"
"795"	"DUOX2; DUOXA1; JAG1"	"Involved in the same disease;Relevant pathways for phenotye"	"N.A."	"N.A."	"0"	"OLI1078; OLI1497"
"796"	"DUOXA1; JAG1"	"Involved in the same disease;Relevant pathways for phenotye"	"N.A."	"N.A."	"0"	"OLI1079; OLI1498"
"797"	"CDCA8; DUOX2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1080"
"798"	"DUOX2; NKX2-1; TSHR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1081; OLI1499"
"799"	"DUOX2; NKX2-1; TG"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1083; OLI1084; OLI1501; OLI1502"
"800"	"DUOX2; SHH; TG"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1085; OLI1503"
"801"	"CDCA8; SHH; SLC26A4"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1086"
"802"	"HOXB3; TG"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1087"
"803"	"DUOX2; HOXB3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1088; OLI1504"
"804"	"DUOX2; EYA1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1089"
"805"	"EYA1; TG"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1090"
"806"	"DUOXA2; HES1; TPO"	"Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1091; OLI1505"
"807"	"NKX2-5; TG"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1092; OLI1506"
"808"	"GNAS; PAX8; TG"	"Involved in the same disease"	"N.A."	"Thyroid hormone synthesis"	"0"	"OLI1093; OLI1507"
"809"	"HOXB3; JAG1; TG"	"Relevant pathways for phenotype;Involved in the same disease;Relevant pathways for phenotye"	"N.A."	"N.A."	"0"	"OLI1094"
"810"	"CDH23; GJB2; KCNQ4; MPDZ; SLC26A4"	"Involved in the same disease;Monogenic experiments only;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype;Affecting the same tissue"	"N.A."	"N.A."	"0"	"OLI1100"
"811"	"GJB2; KCNQ4; MPDZ"	"Involved in the same disease;Monogenic experiments only;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype;Affecting the same tissue"	"N.A."	"N.A."	"1"	"OLI1101"
"812"	"CDH23; MPDZ; SLC26A4"	"Involved in the same disease;Monogenic experiments only;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype;Affecting the same tissue"	"N.A."	"N.A."	"0"	"OLI1102"
"813"	"CDH23; GJB2; MPDZ; SLC26A4"	"Involved in the same disease;Monogenic experiments only;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype;Affecting the same tissue"	"N.A."	"N.A."	"0"	"OLI1103"
"814"	"CDH23; GJB2; MPDZ"	"Involved in the same disease;Monogenic experiments only;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype;Affecting the same tissue"	"N.A."	"N.A."	"0"	"OLI1104"
"815"	"FGFR1; LHB"	"Same pathway;Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Disease"	"1"	"OLI1105"
"816"	"FGFR1; NR0B1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI1107"
"817"	"PROKR2; SOX10"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1109"
"818"	"CHD7; SEMA3A"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1111; OLI1523; OLI1591"
"819"	"CHD7; SEMA3E"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1113"
"820"	"SEMA3A; WDR11"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"2"	"OLI1115; OLI1357"
"821"	"BBS4; BBS9"	"Involved in the same disease;Same protein complex;Directly interacting;Expression in the same tissue;Same pathway"	"(BBS9, BBS4)"	"Organelle biogenesis and maintenance;Cilium Assembly;BBSome-mediated cargo-targeting to cilium;Cargo trafficking to the periciliary membrane"	"2"	"OLI1123; OLI1133"
"822"	"BBS5; TRIM32"	"Expression in the same tissue;Involved in the same disease;Same protein complex"	"N.A."	"N.A."	"2"	"OLI1134"
"823"	"PMS2; POLE"	"Monogenic experiments only;Similar function;Same pathway;Involved in the same disease"	"N.A."	"DNA Repair"	"1"	"OLI1135"
"824"	"AMH; HOXA10"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1136"
"825"	"AMH; CRTAP"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1137"
"826"	"AMH; MEFV"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1138"
"827"	"CFTR; SHOX; ZNF263"	"Relevant pathways for phenotype;Expression in relevant tissue"	"N.A."	"N.A."	"0"	"OLI1139"
"828"	"CNOT1; WNT4"	"Relevant pathways for phenotype;Expression in relevant tissue"	"N.A."	"N.A."	"1"	"OLI1140"
"829"	"MEFV; WNT4"	"Monogenic experiments only"	"N.A."	"N.A."	"0"	"OLI1141"
"830"	"LAMC1; MMP14; ZNF205"	"Monogenic experiments only;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1142"
"831"	"LRP10; SHOX"	"Monogenic experiments only;Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1143"
"832"	"TRIM71; WNT9B"	"Monogenic experiments only;Relevant pathways for phenotype;Expression in relevant tissue;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1144"
"833"	"PRSS1; SMAD4"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1145"
"834"	"BBS1; BBS4; CEP290; MKS1; TTC8"	"Same protein complex;Directly interacting;Colocalizaton;Directly interacting;Involvement in relevant pathway(s) for phenotype;Same pathway;Similar function;Relevant pathways for phenotype"	"(CEP290, BBS4);(CEP290, BBS1);(CEP290, TTC8);(BBS4, BBS1);(BBS4, TTC8);(BBS1, TTC8)"	"Organelle biogenesis and maintenance;Cilium Assembly"	"2"	"OLI1146"
"835"	"BSCL2; SPG7"	"Monogenic experiments only;Involvement in relevant pathway(s) for phenotype;Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI1147"
"836"	"SPAST; SPG7"	"Monogenic experiments only;Involved in the same disease;Same pathway;Similar function;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI1148; OLI1149"
"837"	"SPG7; TBCE"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1150"
"838"	"AFG3L2; SPG7"	"Involved in the same disease;Involvement in relevant pathways for phenotype;Same pathway;Involvement in relevant pathway(s) for phenotype;Same pathway;Similar function;Co-expression;Similar protein structure;Affecting the same tissue"	"N.A."	"Mitochondrial calcium ion transport;Transport of small molecules;Processing of SMDT1"	"3"	"OLI1151"
"839"	"CACNA1A; SPG7"	"Monogenic experiments only;Involved in the same disease"	"N.A."	"N.A."	"2"	"OLI1152"
"840"	"MORC2; SPG7"	"Monogenic experiments only;Expression in the same tissue;Directly interacting;Co-expression"	"N.A."	"N.A."	"1"	"OLI1153"
"841"	"ITGB7; PTPN13"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"Immune System"	"1"	"OLI1154"
"842"	"CHAD; SPATA20"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1155"
"843"	"ACADS; ECHDC1"	"Same pathway;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"N.A."	"Propanoate metabolism;Metabolic pathways"	"3"	"OLI1156; OLI1157; OLI1158"
"844"	"FGFR1; GLI2"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"Pathways in cancer"	"1"	"OLI1159"
"845"	"CHD7; LHX4"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1160; OLI1163; OLI1172"
"846"	"CHD7; FGFR1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1161; OLI1322; OLI1340; OLI1593; OLI1603; OLI1606"
"847"	"CHD7; HS6ST1; LHX4"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1162"
"848"	"GNRHR; WDR11"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1165; OLI1595"
"849"	"GNRHR; PCSK1"	"Relevant pathways for phenotype;Same pathway"	"N.A."	"N.A."	"2"	"OLI1166"
"850"	"CHD7; GNRHR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1167; OLI1590"
"851"	"GNRH1; WDR11"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1168"
"852"	"GLI2; PROKR2"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"1"	"OLI1169"
"853"	"GLI2; PITX2"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"Generic Transcription Pathway;Gene expression (Transcription);RNA Polymerase II Transcription"	"2"	"OLI1170"
"854"	"NR0B1; PROKR2"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1171"
"855"	"SLC26A4; TPO"	"Involved in the same disease;Expression in the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"Thyroid hormone synthesis"	"1"	"OLI1173"
"856"	"DUOXA2; TPO; TSHR"	"Involved in the same disease;Same pathway;Monogenic experiments only;Expression in the same tissue;Same pathway;Relevant pathways for phenotype;Involvement in relevant pathways for phenotype"	"N.A."	"Thyroid hormone synthesis"	"1"	"OLI1174"
"857"	"STUB1; TBP"	"Involved in the same disease"	"N.A."	"RNA Polymerase II Transcription;Signal Transduction;Generic Transcription Pathway;Gene expression (Transcription)"	"2"	"OLI1176; OLI1177; OLI1178; OLI1179; OLI1180; OLI1181; OLI1182; OLI1183; OLI1184; OLI1185; OLI1186; OLI1187; OLI1188; OLI1189; OLI1190; OLI1191; OLI1192; OLI1193; OLI1194; OLI1195; OLI1196; OLI1197; OLI1198; OLI1199; OLI1200; OLI1201; OLI1202; OLI1203; OLI1204; OLI1205; OLI1206; OLI1207; OLI1208; OLI1209; OLI1210; OLI1211; OLI1369"
"858"	"CCDC141; PROKR2"	"Involved in the same disease;Monogenic experiments only;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype;Affecting the same tissue"	"N.A."	"N.A."	"2"	"OLI1213"
"859"	"DUSP6; PROKR2; SEMA7A"	"Monogenic experiments only;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1214"
"860"	"ABCG5; CD36; PCSK9"	"Monogenic experiments only;Indirectly interacting;Involved in the same disease;Same pathway;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"N.A."	"Cholesterol metabolism"	"2"	"OLI1215"
"861"	"KCNE1; KCNQ1"	"Involved in the same disease;Directly interacting;Expression in the same tissue;Same pathway;Relevant pathways for phenotype"	"(KCNE1, KCNQ1)"	"Phase 3 - rapid repolarisation;Phase 2 - plateau phase;Muscle contraction;Cardiac conduction;Adrenergic signaling in cardiomyocytes"	"2"	"OLI1216; OLI1217; OLI1218; OLI1219"
"862"	"KCNE1; SCN5A"	"Involved in the same disease;Expression in the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"Muscle contraction;Adrenergic signaling in cardiomyocytes;Cardiac conduction"	"1"	"OLI1227; OLI1228"
"863"	"FN1; ITGAV"	"Monogenic experiments only;Involved in the same disease;Affecting the same tissue;Involvement in relevant pathway(s) for phenotype;Same pathway;Affecting relevant tissues;Relevant pathways for phenotype;Expression in the same tissue"	"(FN1, ITGAV)"	"Non-integrin membrane-ECM interactions;Integrin cell surface interactions;Regulation of actin cytoskeleton;Extracellular matrix organization;Immune System;Elastic fibre formation;Signal Transduction;Molecules associated with elastic fibres;ECM-receptor interaction;Syndecan interactions;Pathways in cancer;Small cell lung cancer;Focal adhesion;Signaling by Receptor Tyrosine Kinases;PI3K-Akt signaling pathway;Human papillomavirus infection;Proteoglycans in cancer;ECM proteoglycans;Cell surface interactions at the vascular wall;Hemostasis"	"2"	"OLI1230"
"864"	"HFM1; MCM8; WNT4"	"Relevant pathways for phenotype;Same pathway;Co-expression;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1231"
"865"	"HSF1; MMP10"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1232"
"866"	"CPT1B; IGSF10"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI1233"
"867"	"ACE; EGFR; MMP10"	"Relevant pathways for phenotype;Monogenic experiments only;Co-expression,Same pathway"	"N.A."	"N.A."	"1"	"OLI1234"
"868"	"CXCL8; H6PD"	"Relevant pathways for phenotype;Monogenic experiments only"	"N.A."	"N.A."	"0"	"OLI1235"
"869"	"EXO1; IGF2"	"Relevant pathways for phenotype;Monogenic experiments only"	"N.A."	"N.A."	"1"	"OLI1236"
"870"	"ACE; ALPG; CYP17A1"	"Monogenic experiments only;Involved in the same disease;Same pathway;Relevant pathways for phenotype;Co-expression"	"N.A."	"N.A."	"1"	"OLI1237"
"871"	"MTOR; NOBOX; VEGFA"	"Relevant pathways for phenotype;Monogenic experiments only;Same pathway;Expression in relevant tissues"	"N.A."	"N.A."	"1"	"OLI1238"
"872"	"EGFR; GNRHR; MMP11"	"Monogenic experiments only;Co-expression,Same pathway;Expression in relevant tissues;Relevant pathways for phenotype;Expression in the same tissue"	"N.A."	"N.A."	"1"	"OLI1239"
"873"	"MCM2; MCM4"	"Relevant pathways for phenotype;Same protein complex;Co-expression,Same pathway"	"(MCM2, MCM4)"	"Cell Cycle;Cell cycle;Mitotic;Synthesis of DNA;Activation of ATR in response to replication stress;DNA replication;Unwinding of DNA;Orc1 removal from chromatin;Activation of the pre-replicative complex;Mitotic G1 phase and G1/S transition;Cell Cycle Checkpoints;DNA Replication Pre-Initiation;G2/M Checkpoints;S Phase;Assembly of the pre-replicative complex;G1/S Transition;DNA Replication;Switching of origins to a post-replicative state;DNA strand elongation"	"2"	"OLI1240"
"874"	"NOD2; NPC1"	"Relevant pathways for phenotype;Monogenic experiments only;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1241"
"875"	"POU1F1; SIX3"	"Indirectly interacting;Affecting the same tissue;Involvement in relevant pathway(s) for phenotype;Same pathway;Affecting relevant tissues;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI1242"
"876"	"TP63; WNT10A"	"Relevant pathways for phenotype;Monogenic experiments only;Affecting the same tissue;Involvement in relevant pathway(s) for phenotype"	"N.A."	"N.A."	"2"	"OLI1243"
"877"	"PAG1; WNT10A"	"Monogenic experiments only;Involved in the same disease;Affecting the same tissue;Involvement in relevant pathway(s) for phenotype;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"2"	"OLI1244"
"878"	"EVC; WNT10A"	"Involved in the same disease;Affecting the same tissue;Involvement in relevant pathway(s) for phenotype;Monogenic experiments only,;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"2"	"OLI1245"
"879"	"ATP7B; FOXP1; SETX; SORL1"	"Relevant pathways for phenotype;Monogenic experiments only;Involvement in relevant pathway(s) for phenotype"	"N.A."	"N.A."	"1"	"OLI1246"
"880"	"ENPP1; EXPH5"	"Relevant pathways for phenotype;Monogenic experiments only;Affecting the same tissue;Involvement in relevant pathway(s) for phenotype"	"N.A."	"N.A."	"1"	"OLI1248"
"881"	"LRP5; ZNF408"	"Relevant pathways for phenotype;Monogenic experiments only;Expression in the same tissue;Involvement in relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1249; OLI1250; OLI1254; OLI1256"
"882"	"KIF11; LRP5"	"Relevant pathways for phenotype;Monogenic experiments only;Expression in the same tissue;Involvement in relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1251"
"883"	"KIF11; ZNF408"	"Relevant pathways for phenotype;Monogenic experiments only;Expression in the same tissue"	"N.A."	"N.A."	"2"	"OLI1255"
"884"	"FZD4; LRP5; ZNF408"	"Relevant pathways for phenotype;Same pathway;Expression in the same tissue"	"N.A."	"N.A."	"1"	"OLI1258"
"885"	"CHD7; SPRY4"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1260"
"886"	"SEMA3E; WDR11"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1263"
"887"	"KISS1R; SOX10"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1264; OLI1596"
"888"	"CHD7; KISS1R"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1265; OLI1284; OLI1291"
"889"	"HS6ST1; SEMA3A"	"Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1266"
"890"	"FGFR1; SEMA7A"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1267; OLI1302"
"891"	"CHD7; FGFR1; IL17RD"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"(FGFR1, IL17RD)"	"N.A."	"1"	"OLI1268"
"892"	"CHD7; PROKR2; WDR11"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1270"
"893"	"FEZF1; FGFR1; TAC3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1274"
"894"	"FEZF1; GNRHR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1275"
"895"	"GNRHR; SPRY4"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1277"
"896"	"PROKR2; TACR3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"GPCR ligand binding;GPCR downstream signalling;Signal Transduction;Peptide ligand-binding receptors;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;G alpha (q) signalling events"	"1"	"OLI1278; OLI1289"
"897"	"FLRT3; TACR3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Signal Transduction"	"1"	"OLI1279"
"898"	"HESX1; PROKR2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1280"
"899"	"CHD7; TACR3"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1282; OLI1283"
"900"	"FGF8; SEMA3A"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1286"
"901"	"ANOS1; SEMA7A"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1287"
"902"	"NSMF; PROKR2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1292"
"903"	"FEZF1; PROKR2"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1293"
"904"	"PROKR2; SEMA3A; SPRY4"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1295"
"905"	"FEZF1; FGFR1; GNRHR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1296"
"906"	"PROK2; PROKR2; SEMA3A"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1297"
"907"	"ANOS1; SPRY4"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1298"
"908"	"FEZF1; WDR11"	"Relevant pathways for phenotype;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1299"
"909"	"FLRT3; GNRHR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"Signal Transduction"	"1"	"OLI1300"
"910"	"FGF8; PROKR2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1303"
"911"	"CYP7A1; LDLRAP1; LRP6"	"Monogenic experiments only;Involved in the same disease;Same pathway;Relevant pathways for phenotype;Same protein complex;Directly interacting"	"N.A."	"N.A."	"1"	"OLI1304"
"912"	"CYP7A1; LRP6"	"Relevant pathways for phenotype;Monogenic experiments only;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1305"
"913"	"DNAH10; FUS; MROH2A; SCUBE2; TRIM42"	"Relevant pathways for phenotype;Monogenic experiments only;Involvement in relevant pathway(s) for phenotype"	"N.A."	"N.A."	"0"	"OLI1306"
"914"	"CARD11; FUS; GPT2"	"Relevant pathways for phenotype;Monogenic experiments only;Involved in the same disease;Involvement in relevant pathway(s) for phenotype"	"N.A."	"N.A."	"0"	"OLI1307"
"915"	"AGRN; RPL3L"	"Monogenic experiments only;Expression in the same tissue;Involved in the same disease"	"N.A."	"Disease;Nervous system development;Developmental Biology;Metabolism;Axon guidance"	"2"	"OLI1308"
"916"	"GBA; TARDBP"	"Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1309"
"917"	"GBA; PRKN; TARDBP"	"Involved in the same disease"	"(GBA, PRKN);(PRKN, TARDBP)"	"N.A."	"2"	"OLI1310"
"918"	"GBA; PRKN"	"Involved in the same disease"	"(GBA, PRKN)"	"Metabolism of proteins"	"2"	"OLI1311"
"919"	"LRRK2; PRKN; TARDBP"	"Involved in the same disease"	"(LRRK2, PRKN);(PRKN, TARDBP)"	"Pathways of neurodegeneration - multiple diseases"	"2"	"OLI1312"
"920"	"GJB2; SLC4A11"	"N.A."	"N.A."	"N.A."	"0"	"OLI1313"
"921"	"EYA1; GJB2"	"N.A."	"N.A."	"N.A."	"0"	"OLI1314"
"922"	"GJB2; OTOA"	"N.A."	"N.A."	"N.A."	"0"	"OLI1315; OLI1316"
"923"	"GJB2; GSDME"	"N.A."	"N.A."	"N.A."	"0"	"OLI1317"
"924"	"GJB2; OTOA; OTOF; PJVK"	"N.A."	"N.A."	"N.A."	"0"	"OLI1318"
"925"	"ADGRV1; USH2A"	"Involved in the same disease;Affecting the same tissue;Affecting relevant tissues;Same protein complex;Co-expression;Directly interacting"	"N.A."	"N.A."	"2"	"OLI1319"
"926"	"GLI3; NRP2"	"N.A."	"N.A."	"Signal Transduction"	"0"	"OLI1321"
"927"	"PNPLA6; SOX10"	"N.A."	"N.A."	"N.A."	"0"	"OLI1323"
"928"	"BMP4; GNRH1; SRA1"	"Relevant pathways for phenotype;Monogenic experiments only;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1324"
"929"	"HS6ST1; IL17RD; SOX9"	"Relevant pathways for phenotype;Monogenic experiments only;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1325"
"930"	"POLR3A; TTN"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1326"
"931"	"COL6A1; LZTR1; TTN"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1327"
"932"	"H2BW2; KDM6A; LRP1B"	"Same pathway;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1328"
"933"	"GBP2; RNF123; TYK2; ZNFX1"	"Same pathway;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1329"
"934"	"IFNGR1; IL23R; JAK1; PPP1R9B"	"Involved in the same disease"	"(IFNGR1, JAK1)"	"N.A."	"0"	"OLI1330"
"935"	"RBMXL3; SRPX2; ZCWPW1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1331"
"936"	"HEATR3; IFNW1; IL12B; TYK2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1332"
"937"	"GAL3ST2; HMCN1; SIGLEC6; STAT1; TTN"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1333"
"938"	"IL12RB1; STAT1"	"Same pathway;Involved in the same disease"	"N.A."	"Inflammatory bowel disease;Cytokine Signaling in Immune system;Pathways in cancer;Th17 cell differentiation;JAK-STAT signaling pathway;Interleukin-12 family signaling;Th1 and Th2 cell differentiation;Signaling by Interleukins;Immune System"	"2"	"OLI1334"
"939"	"CHD7; NSMF; SEMA3E"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI1335"
"940"	"FEZF1; FGFR1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1336"
"941"	"CHD7; FGF8; PROKR2"	"Relevant pathways for phenotype;Monogenic experiments only;Same pathway"	"N.A."	"N.A."	"1"	"OLI1337"
"942"	"GLI3; IL17RD"	"Relevant pathways for phenotype;Monogenic experiments only;Involved in the same disease"	"N.A."	"Signal Transduction"	"1"	"OLI1343"
"943"	"CCKBR; KISS1R"	"Relevant pathways for phenotype;Monogenic experiments only;Involved in the same disease"	"N.A."	"GPCR ligand binding;Neuroactive ligand-receptor interaction;GPCR downstream signalling;Signal Transduction;Class A/1 (Rhodopsin-like receptors);Peptide ligand-binding receptors;Signaling by GPCR;G alpha (q) signalling events"	"1"	"OLI1345"
"944"	"CHD7; HS6ST1"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI1346; OLI1600; OLI1605"
"945"	"CHD7; FGF17"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI1347"
